season,team,team_name,win_total,over_odds,under_odds,p_over_novig,exp_wins,games
2019,ARI,Arizona Cardinals,5.0,-120,100,0.5217,5.022,16
2019,ATL,Atlanta Falcons,8.5,-140,120,0.562,8.562,16
2019,BAL,Baltimore Ravens,8.5,110,-130,0.4573,8.457,16
2019,BUF,Buffalo Bills,7.0,-140,120,0.562,7.062,16
2019,CAR,Carolina Panthers,8.0,-130,110,0.5427,8.043,16
2019,CHI,Chicago Bears,9.0,-140,120,0.562,9.062,16
2019,CIN,Cincinnati Bengals,6.0,130,-150,0.4202,5.92,16
2019,CLE,Cleveland Browns,9.0,100,-120,0.4783,8.978,16
2019,DAL,Dallas Cowboys,9.0,-110,-110,0.5,9.0,16
2019,DEN,Denver Broncos,7.0,-130,110,0.5427,7.043,16
2019,DET,Detroit Lions,6.5,-150,130,0.5798,6.58,16
2019,GB,Green Bay Packers,9.0,-140,120,0.562,9.062,16
2019,HOU,Houston Texans,8.5,-115,-105,0.5108,8.511,16
2019,IND,Indianapolis Colts,7.5,-110,-110,0.5,7.5,16
2019,JAX,Jacksonville Jaguars,8.0,-110,-110,0.5,8.0,16
2019,KC,Kansas City Chiefs,10.5,-130,110,0.5427,10.543,16
2019,LAC,Los Angeles Chargers,10.0,120,-140,0.438,9.938,16
2019,LA,Los Angeles Rams,10.5,125,-145,0.4289,10.429,16
2019,MIA,Miami Dolphins,4.5,100,-120,0.4783,4.478,16
2019,MIN,Minnesota Vikings,9.0,-125,105,0.5325,9.032,16
2019,NE,New England Patriots,11.5,-110,-110,0.5,11.5,16
2019,NO,New Orleans Saints,10.5,130,-150,0.4202,10.42,16
2019,NYG,New York Giants,6.0,105,-125,0.4675,5.968,16
2019,NYJ,New York Jets,7.5,-110,-110,0.5,7.5,16
2019,LV,Oakland Raiders,6.0,145,-170,0.3933,5.893,16
2019,PHI,Philadelphia Eagles,10.0,-150,130,0.5798,10.08,16
2019,PIT,Pittsburgh Steelers,9.5,-110,-110,0.5,9.5,16
2019,SF,San Francisco 49ers,8.0,-140,120,0.562,8.062,16
2019,SEA,Seattle Seahawks,9.0,100,-120,0.4783,8.978,16
2019,TB,Tampa Bay Buccaneers,6.5,-110,-110,0.5,6.5,16
2019,TEN,Tennessee Titans,8.0,120,-140,0.438,7.938,16
2019,WAS,Washington Redskins,6.0,130,-150,0.4202,5.92,16
2020,ARI,Arizona Cardinals,7.5,-110,-110,0.5,7.5,16
2020,ATL,Atlanta Falcons,7.5,100,-120,0.4783,7.478,16
2020,BAL,Baltimore Ravens,11.5,120,-140,0.438,11.438,16
2020,BUF,Buffalo Bills,9.0,-120,100,0.5217,9.022,16
2020,CAR,Carolina Panthers,5.5,-140,120,0.562,5.562,16
2020,CHI,Chicago Bears,8.0,115,-135,0.4474,7.947,16
2020,CIN,Cincinnati Bengals,5.5,-150,130,0.5798,5.58,16
2020,CLE,Cleveland Browns,8.5,-110,-110,0.5,8.5,16
2020,DAL,Dallas Cowboys,10.0,-110,-110,0.5,10.0,16
2020,DEN,Denver Broncos,7.5,-130,110,0.5427,7.543,16
2020,DET,Detroit Lions,7.0,-130,110,0.5427,7.043,16
2020,GB,Green Bay Packers,8.5,-120,100,0.5217,8.522,16
2020,HOU,Houston Texans,7.5,105,-125,0.4675,7.468,16
2020,IND,Indianapolis Colts,9.5,-110,-110,0.5,9.5,16
2020,JAX,Jacksonville Jaguars,4.5,-110,-110,0.5,4.5,16
2020,KC,Kansas City Chiefs,11.5,-120,100,0.5217,11.522,16
2020,LV,Las Vegas Raiders,7.5,115,-135,0.4474,7.447,16
2020,LAC,Los Angeles Chargers,8.0,-105,-115,0.4892,7.989,16
2020,LA,Los Angeles Rams,8.5,110,-130,0.4573,8.457,16
2020,MIA,Miami Dolphins,6.0,-115,-105,0.5108,6.011,16
2020,MIN,Minnesota Vikings,9.0,110,-130,0.4573,8.957,16
2020,NE,New England Patriots,9.0,120,-140,0.438,8.938,16
2020,NO,New Orleans Saints,10.5,120,-140,0.438,10.438,16
2020,NYG,New York Giants,6.5,120,-140,0.438,6.438,16
2020,NYJ,New York Jets,6.5,120,-140,0.438,6.438,16
2020,PHI,Philadelphia Eagles,9.5,130,-150,0.4202,9.42,16
