season,team,team_name,win_total,over_odds,under_odds,p_over_novig,exp_wins,games
2026,NE,New England Patriots,10.5,,,0.5,10.5,17
2026,BUF,Buffalo Bills,10.5,,,0.5,10.5,17
2026,NYJ,New York Jets,5.5,,,0.5,5.5,17
2026,MIA,Miami Dolphins,4.5,,,0.5,4.5,17
2026,BAL,Baltimore Ravens,11.5,,,0.5,11.5,17
2026,PIT,Pittsburgh Steelers,8.5,,,0.5,8.5,17
2026,CIN,Cincinnati Bengals,10.5,,,0.5,10.5,17
2026,CLE,Cleveland Browns,5.5,,,0.5,5.5,17
2026,JAX,Jacksonville Jaguars,8.5,,,0.5,8.5,17
2026,HOU,Houston Texans,9.5,,,0.5,9.5,17
2026,IND,Indianapolis Colts,7.5,,,0.5,7.5,17
2026,TEN,Tennessee Titans,6.5,,,0.5,6.5,17
2026,DEN,Denver Broncos,9.5,,,0.5,9.5,17
2026,LAC,Los Angeles Chargers,9.5,,,0.5,9.5,17
2026,KC,Kansas City Chiefs,10.5,,,0.5,10.5,17
2026,LV,Las Vegas Raiders,5.5,,,0.5,5.5,17
2026,PHI,Philadelphia Eagles,10.5,,,0.5,10.5,17
2026,DAL,Dallas Cowboys,9.5,,,0.5,9.5,17
2026,WAS,Washington Commanders,7.5,,,0.5,7.5,17
2026,NYG,New York Giants,7.5,,,0.5,7.5,17
2026,CHI,Chicago Bears,9.5,,,0.5,9.5,17
2026,GB,Green Bay Packers,9.5,,,0.5,9.5,17
2026,MIN,Minnesota Vikings,8.5,,,0.5,8.5,17
2026,DET,Detroit Lions,10.5,,,0.5,10.5,17
2026,TB,Tampa Bay Buccaneers,8.5,,,0.5,8.5,17
2026,CAR,Carolina Panthers,7.5,,,0.5,7.5,17
2026,ATL,Atlanta Falcons,6.5,,,0.5,6.5,17
2026,NO,New Orleans Saints,7.5,,,0.5,7.5,17
2026,LA,Los Angeles Rams,11.5,,,0.5,11.5,17
2026,SEA,Seattle Seahawks,10.5,,,0.5,10.5,17
2026,SF,San Francisco 49ers,9.5,,,0.5,9.5,17
2026,ARI,Arizona Cardinals,3.5,,,0.5,3.5,17
