game_id,date,team,opp,home,player_id,name,pos,starter,min,fgm,fga,tpm,tpa,ftm,fta,orb,drb,ast,stl,blk,tov,pf,pm,pts,dnp
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,6430,Jimmy Butler III,F,1,35,7,14,1,2,16,16,2,3,4,1,0,1,4,20,31,0
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,4433247,Jonathan Kuminga,F,1,33,6,11,4,6,1,2,3,6,6,1,0,2,3,4,17,0
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,4709138,Brandin Podziemski,G,1,33,3,7,1,4,0,0,1,6,2,1,0,1,2,13,7,0
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,3975,Stephen Curry,G,1,32,6,14,3,9,8,8,0,1,4,3,1,2,3,1,23,0
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,6589,Draymond Green,F,1,28,3,6,1,3,1,3,1,6,9,1,2,4,5,20,8,0
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,2990984,Buddy Hield,G,0,22,6,11,5,10,0,0,0,1,0,1,0,2,0,5,17,0
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,3213,Al Horford,C,0,20,2,7,1,4,0,0,0,5,1,0,0,2,4,-10,5,0
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,4897262,Will Richard,G,0,14,2,2,1,1,0,0,1,0,1,1,0,0,2,-11,5,0
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,3134903,Gary Payton II,G,0,12,3,6,0,1,0,0,1,1,1,1,1,3,3,3,6,0
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,4593016,Quinten Post,C,0,9,0,0,0,0,0,0,0,2,1,0,0,0,1,5,0,0
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,4997536,Gui Santos,F,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,4431684,Trayce Jackson-Davis,F,0,0,,,,,,,,,,,,,,,,1
2026_20251021_GSW_LAL,2025-10-21,GSW,LAL,0,4592714,Pat Spencer,G,0,0,,,,,,,,,,,,,,,,1
2026_20251021_GSW_LAL,2025-10-21,LAL,GSW,1,3945274,Luka Doncic,G,1,41,17,27,2,10,7,10,0,12,9,2,1,3,1,-8,43,0
2026_20251021_GSW_LAL,2025-10-21,LAL,GSW,1,4066457,Austin Reaves,G,1,36,9,16,1,5,7,10,1,4,9,2,0,5,5,-14,26,0
2026_20251021_GSW_LAL,2025-10-21,LAL,GSW,1,4066648,Rui Hachimura,F,1,35,3,6,3,6,0,0,0,4,3,0,0,1,2,-6,9,0
2026_20251021_GSW_LAL,2025-10-21,LAL,GSW,1,4278129,Deandre Ayton,C,1,34,5,7,0,0,0,2,2,4,0,0,1,4,3,-4,10,0
2026_20251021_GSW_LAL,2025-10-21,LAL,GSW,1,3137259,Gabe Vincent,G,1,29,1,4,1,4,0,0,0,0,1,1,0,0,3,-5,3,0
2026_20251021_GSW_LAL,2025-10-21,LAL,GSW,1,2990992,Marcus Smart,G,0,23,3,6,0,3,3,4,0,0,0,1,0,3,4,2,9,0
2026_20251021_GSW_LAL,2025-10-21,LAL,GSW,1,4592691,Jake LaRavia,F,0,16,2,4,1,2,0,2,2,1,0,0,0,0,1,-5,5,0
2026_20251021_GSW_LAL,2025-10-21,LAL,GSW,1,4397077,Jaxson Hayes,C,0,14,2,3,0,0,0,0,2,4,1,0,0,1,2,-6,4,0
2026_20251021_GSW_LAL,2025-10-21,LAL,GSW,1,4278077,Jarred Vanderbilt,F,0,12,0,4,0,2,0,0,0,3,0,1,0,2,0,-4,0,0
2026_20251021_GSW_LAL,2025-10-21,LAL,GSW,1,4897943,Dalton Knecht,F,0,0,,,,,,,,,,,,,,,,1
2026_20251021_GSW_LAL,2025-10-21,LAL,GSW,1,4431778,Christian Koloko,C,0,0,,,,,,,,,,,,,,,,1
2026_20251021_GSW_LAL,2025-10-21,LAL,GSW,1,4683774,Bronny James,G,0,0,,,,,,,,,,,,,,,,1
2026_20251021_HOU_OKC,2025-10-21,HOU,OKC,0,4871144,Alperen Sengun,C,1,49,12,24,5,8,10,11,4,7,7,2,1,4,5,9,39,0
2026_20251021_HOU_OKC,2025-10-21,HOU,OKC,0,3202,Kevin Durant,F,1,47,9,16,0,4,5,6,0,9,3,0,0,4,6,0,23,0
2026_20251021_HOU_OKC,2025-10-21,HOU,OKC,0,4432639,Jabari Smith Jr.,F,1,42,7,15,2,6,0,0,3,2,0,1,0,0,4,2,16,0
2026_20251021_HOU_OKC,2025-10-21,HOU,OKC,0,4684740,Amen Thompson,G,1,39,8,17,0,7,2,2,2,2,5,1,1,4,3,-11,18,0
2026_20251021_HOU_OKC,2025-10-21,HOU,OKC,0,2991235,Steven Adams,C,1,37,1,4,0,0,2,2,5,8,3,0,0,3,4,2,4,0
