player_name,season,mp,raptor_offense,raptor_defense
Precious Achiuwa,2021,749,-4.35,0.95
Precious Achiuwa,2022,1892,-2.52,2.14
Jaylen Adams,2020,21,6.21,7.66
Jaylen Adams,2021,18,-16.83,-1.41
Steven Adams,2020,1890,0.32,1.66
Steven Adams,2021,1605,-0.54,1.04
Steven Adams,2022,2113,1.69,0.45
Bam Adebayo,2020,3104,-0.1,2.23
Bam Adebayo,2021,2279,0.11,1.77
Bam Adebayo,2022,2439,0.01,3.85
Santi Aldama,2022,360,-2.81,-1.87
LaMarcus Aldridge,2020,1754,-0.66,0.78
LaMarcus Aldridge,2021,674,-2.41,-0.85
LaMarcus Aldridge,2022,1050,-0.24,1.83
Kyle Alexander,2020,13,-6.05,-3.62
Nickeil Alexander-Walker,2020,591,-1.52,-1.71
Nickeil Alexander-Walker,2021,1007,-1.33,0.69
Nickeil Alexander-Walker,2022,1471,-1.77,-1.22
Ty-Shon Alexander,2021,48,-3.59,-1.75
Grayson Allen,2020,718,0.04,-1.44
Grayson Allen,2021,1375,-0.13,-0.02
Grayson Allen,2022,2110,0.21,-0.07
Jarrett Allen,2020,1984,0.05,2.41
Jarrett Allen,2021,1864,-0.69,1.69
Jarrett Allen,2022,1809,0.19,4.09
Kadeem Allen,2020,117,0.87,2.22
Jose Alvarado,2022,951,0.53,4.34
Al-Farouq Aminu,2020,380,-5.4,3.06
Al-Farouq Aminu,2021,434,-3.49,2.78
Justin Anderson,2020,135,-1.69,0.8
Justin Anderson,2022,316,-0.11,-4.79
Kyle Anderson,2020,1330,-1.99,1.75
Kyle Anderson,2021,2029,0.57,2.47
Kyle Anderson,2022,1705,-1.32,0.72
Ryan Anderson,2020,14,-7.47,-0.48
Giannis Antetokounmpo,2020,2194,5.34,3.44
Giannis Antetokounmpo,2021,2813,4.25,2.34
Giannis Antetokounmpo,2022,2652,5.59,2.48
Kostas Antetokounmpo,2020,20,2.6,-4.34
Kostas Antetokounmpo,2021,56,-10.63,6.31
Thanasis Antetokounmpo,2020,129,-2.23,0.18
Thanasis Antetokounmpo,2021,596,-3.17,2.15
Thanasis Antetokounmpo,2022,493,-3.11,-0.72
Carmelo Anthony,2020,2078,-1.38,-2.97
Carmelo Anthony,2021,1833,0.26,-2.81
Carmelo Anthony,2022,1793,0.12,-1.8
Cole Anthony,2021,1273,-2.12,-3.02
Cole Anthony,2022,2059,-0.12,-1.96
OG Anunoby,2020,2459,-0.67,1.61
OG Anunoby,2021,1433,0.18,2.28
OG Anunoby,2022,1945,0.16,-0.18
Ryan Arcidiacono,2020,930,-0.93,2.02
Ryan Arcidiacono,2021,450,-0.07,0.49
Ryan Arcidiacono,2022,76,-4.22,5.77
Trevor Ariza,2020,1493,-1.63,1.22
Trevor Ariza,2021,937,-1.68,2.78
Trevor Ariza,2022,462,-4.04,-0.46
D.J. Augustin,2020,1548,0.16,-1.25
D.J. Augustin,2021,1129,0.65,-2.5
D.J. Augustin,2022,883,-1.52,-5.67
Deni Avdija,2021,1257,-2.43,0.63
Deni Avdija,2022,1984,-0.91,2.03
Joel Ayayi,2022,20,-7.6,4.28
Deandre Ayton,2020,1236,-1.21,2.98
Deandre Ayton,2021,2916,-0.09,1.72
Deandre Ayton,2022,2110,-0.24,1.12
Udoka Azubuike,2021,58,-9.94,-3.44
Udoka Azubuike,2022,195,-4.79,3.48
Dwayne Bacon,2020,687,-5.32,-0.43
Dwayne Bacon,2021,1853,-2.89,-1.74
Marvin Bagley III,2020,334,-3.88,-0.13
Marvin Bagley III,2021,1112,-2.01,-0.55
Marvin Bagley III,2022,1146,-0.85,-0.16
LaMelo Ball,2021,1469,1.15,-0.89
LaMelo Ball,2022,2422,2.71,-0.66
Lonzo Ball,2020,2025,-0.81,0.23
Lonzo Ball,2021,1747,1.42,0.4
Lonzo Ball,2022,1212,0.0,2.94
Mo Bamba,2020,878,-1.26,2.43
Mo Bamba,2021,725,-1.69,-1.63
Mo Bamba,2022,1824,-2.11,0.58
Desmond Bane,2021,1618,0.21,-1.53
Desmond Bane,2022,2694,3.09,0.93
Dalano Banton,2022,704,-2.71,0.2
Cat Barber,2022,13,-12.19,1.51
J.J. Barea,2020,455,1.41,-0.91
Harrison Barnes,2020,2482,-0.27,-1.13
Harrison Barnes,2021,2102,1.29,-0.13
Harrison Barnes,2022,2587,1.18,-1.69
Scottie Barnes,2022,2750,0.14,0.69
RJ Barrett,2020,1704,-1.81,-2.44
RJ Barrett,2021,2673,0.29,-0.33
RJ Barrett,2022,2417,-0.66,-0.92
Will Barton,2020,1916,1.49,1.03
Will Barton,2021,1819,0.04,-1.83
Will Barton,2022,2449,-0.53,-1.41
Charles Bassey,2022,180,-2.37,1.47
