game_id,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds
2026_02_DET_BUF,205,-250,5.5,-110,-110
2026_02_CAR_ATL,-155,130,-2.5,-120,100
2026_02_NO_BAL,295,-375,8.5,-112,-108
2026_02_MIN_CHI,180,-218,4.5,-102,-118
2026_02_CIN_HOU,120,-142,2.5,-102,-118
2026_02_CLE_TB,360,-470,8.5,-112,-108
2026_02_GB_NYJ,-185,154,-3.5,-110,-110
2026_02_PIT_NE,185,-225,5.5,-112,-108
2026_02_PHI_TEN,-325,260,-7.0,-115,-105
2026_02_JAX_DEN,130,-155,3.0,-120,100
2026_02_LV_LAC,245,-305,6.5,-102,-118
2026_02_SEA_ARI,-205,170,-3.5,-120,100
2026_02_WAS_DAL,180,-218,3.5,100,-120
2026_02_MIA_SF,625,-950,13.5,-115,-105
2026_02_IND_KC,230,-285,6.0,-108,-112
2026_02_NYG_LA,235,-290,6.5,-105,-115
