stat,player,line,over,under
passing_yards,Jared Goff,258.5,-113,-111
passing_yards,Josh Allen,253.5,-113,-111
receiving_yards,Amon-Ra St. Brown,80.5,-114,-110
receiving_yards,DJ Moore,63.5,-113,-111
receiving_yards,Jameson Williams,57.5,-111,-113
receiving_yards,Dalton Kincaid,51.5,-114,-110
receiving_yards,Sam LaPorta,46.5,-111,-113
receiving_yards,Khalil Shakir,43.5,-111,-113
receiving_yards,Jahmyr Gibbs,29.5,-115,-109
receiving_yards,James Cook,18.5,-112,-112
receiving_yards,Isaac TeSlaa,17.5,-109,-115
receiving_yards,Keon Coleman,14.5,-113,-111
receiving_yards,Joshua Palmer,11.5,-109,-115
receiving_yards,Dawson Knox,12.5,-113,-111
rushing_yards,Jahmyr Gibbs,86.5,-111,-113
rushing_yards,James Cook,77.5,-114,-110
rushing_yards,Josh Allen,34.5,-108,-116
rushing_yards,Sione Vaki,5.5,-105,-119
rushing_yards,Jared Goff,0.5,127,-160
passing_tds,Josh Allen,1.5,-165,129
passing_tds,Jared Goff,1.5,-143,112
receiving_yards,Brock Wright,5.5,-107,-117
receptions,Amon-Ra St. Brown,7.5,100,-127
receptions,DJ Moore,4.5,-112,-114
receptions,Sam LaPorta,4.5,-107,-119
receptions,Khalil Shakir,4.5,121,-155
receptions,Dalton Kincaid,4.5,126,-161
receptions,Jahmyr Gibbs,3.5,-159,125
receptions,Jameson Williams,3.5,-150,118
receptions,James Cook,2.5,-107,-119
receptions,Isaac TeSlaa,1.5,-114,-112
receptions,Dawson Knox,1.5,122,-156
receptions,Keon Coleman,1.5,127,-162
receptions,Joshua Palmer,0.5,-219,170
passing_tds,Bryce Young,1.5,119,-152
passing_tds,Cooper Rush,0.5,-269,206
passing_yards,Bryce Young,221.5,-112,-112
passing_yards,Cooper Rush,182.5,-112,-112
receiving_yards,Tetairoa McMillan,59.5,-112,-112
receiving_yards,Drake London,57.5,-111,-113
receiving_yards,Jalen Coker,51.5,-114,-110
receiving_yards,Bijan Robinson,43.5,-112,-112
receiving_yards,Kyle Pitts,31.5,-112,-112
receiving_yards,Darren Waller,17.5,-113,-111
receiving_yards,Xavier Legette,16.5,-113,-111
receiving_yards,Jahan Dotson,16.5,-112,-112
receiving_yards,Tommy Tremble,14.5,-108,-116
receiving_yards,Chuba Hubbard,12.5,-108,-116
receiving_yards,Olamide Zaccheaus,8.5,-113,-111
receiving_yards,Jonathon Brooks,8.5,-109,-115
receptions,Bijan Robinson,5.5,122,-156
receptions,Drake London,4.5,-128,100
receptions,Tetairoa McMillan,4.5,-119,-107
receptions,Jalen Coker,4.5,-117,-109
receptions,Kyle Pitts,3.5,116,-149
receptions,Chuba Hubbard,2.5,142,-183
receptions,Darren Waller,2.5,146,-187
receptions,Jahan Dotson,1.5,-134,105
receptions,Tommy Tremble,1.5,-121,-106
receptions,Xavier Legette,1.5,-111,-115
receptions,Olamide Zaccheaus,1.5,130,-167
receptions,Jonathon Brooks,1.5,165,-212
rushing_yards,Bijan Robinson,81.5,-111,-113
rushing_yards,Chuba Hubbard,54.5,-115,-109
rushing_yards,Brian Robinson Jr.,25.5,-115,-110
rushing_yards,Jonathon Brooks,21.5,-114,-110
rushing_yards,Bryce Young,13.5,-117,-107
rushing_yards,Cooper Rush,0.5,131,-165
passing_tds,Lamar Jackson,1.5,103,-132
passing_tds,Tyler Shough,1.5,186,-242
passing_yards,Tyler Shough,231.5,-111,-113
passing_yards,Lamar Jackson,212.5,-113,-111
receiving_yards,Chris Olave,68.5,-113,-111
receiving_yards,Mark Andrews,46.5,-114,-110
receiving_yards,Devaughn Vele,42.5,-110,-114
receiving_yards,Rashod Bateman,38.5,-111,-113
receiving_yards,Juwan Johnson,37.5,-113,-111
receiving_yards,LaJohntay Wester,21.5,-110,-114
receiving_yards,Bryce Lance,20.5,-112,-112
receiving_yards,Noah Fant,14.5,-115,-109
receiving_yards,Justice Hill,13.5,-114,-110
receiving_yards,Travis Etienne Jr.,11.5,-112,-112
receiving_yards,Alvin Kamara,10.5,-112,-112
receiving_yards,Derrick Henry,6.5,-103,-122
receptions,Chris Olave,5.5,-109,-117
receptions,Mark Andrews,4.5,114,-145
receptions,Devaughn Vele,3.5,-130,102
receptions,Juwan Johnson,3.5,-127,100
receptions,Rashod Bateman,2.5,-145,114
receptions,LaJohntay Wester,2.5,153,-196
receptions,Alvin Kamara,1.5,-192,149
receptions,Travis Etienne Jr.,1.5,-191,149
receptions,Noah Fant,1.5,-172,134
receptions,Bryce Lance,1.5,-140,110
receptions,Derrick Henry,1.5,171,-221
rushing_yards,Derrick Henry,95.5,-111,-113
rushing_yards,Travis Etienne Jr.,41.5,-112,-112
rushing_yards,Lamar Jackson,41.5,-109,-115
rushing_yards,Tyler Shough,16.5,-114,-110
rushing_yards,Alvin Kamara,15.5,-114,-110
rushing_yards,Justice Hill,12.5,-116,-108
passing_tds,Caleb Williams,1.5,-133,104
passing_tds,Carson Wentz,1.5,128,-164
passing_yards,Caleb Williams,229.5,-111,-113
passing_yards,Carson Wentz,217.5,-112,-112
receiving_yards,Justin Jefferson,80.5,-114,-110
receiving_yards,Colston Loveland,53.5,-111,-113
receiving_yards,Luther Burden III,52.5,-110,-114
receiving_yards,Jordan Addison,41.5,-109,-115
receiving_yards,Rome Odunze,38.5,-112,-112
receiving_yards,T.J. Hockenson,29.5,-112,-112
receiving_yards,Kalif Raymond,23.5,-112,-112
receiving_yards,Aaron Jones,17.5,-109,-115
receiving_yards,Josh Oliver,13.5,-115,-110
receiving_yards,Cole Kmet,13.5,-112,-112
receiving_yards,D'Andre Swift,10.5,-116,-108
receiving_yards,Kyle Monangai,10.5,-112,-112
receptions,Justin Jefferson,6.5,-112,-113
receptions,Colston Loveland,4.5,-118,-108
receptions,Luther Burden III,4.5,105,-134
